id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category,
irmawest,Irma-West-Gemeinschaft e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
jacobsuniversitybremen,Jacobs University Bremen,99,2,3,99,99,99,99,99,99,99,99,2,99,
jadeweserport,Jade-Weserport-Realisierungsgesellschaft,99,2,2,99,99,99,99,99,99,99,99,2,99,
jga,Jugend gegen AIDS e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
jugendgegenaids,Jugend gegen AIDS e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
jungeunion,Junge Union,99,2,4,99,99,99,99,99,99,99,99,2,99,
juniorsgkrheinlandpfalz,Junior SGK in Rheinland-Pfalz,99,2,3,99,99,99,99,99,99,99,99,2,99,
kab,Katholische Arbeitnehmer-Bewegung Deutschlands e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
kapferer,Stefan Kapferer,2,1,99,4,4,7,1,2,5,9,2,99,99,
kfw,KfW Bankengruppe,99,2,2,99,99,99,99,99,99,99,99,2,99,
kinderbrauchenfrieden,Kinder brauchen Frieden e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
kinderschutzbund,Kinderschutzbund e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
knappenkapelledaatal,Daadetaler Knappenkapelle e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
kneippbund,Kneipp-Bund e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
kolpingwerk,Kolpingwerk Deutschland,99,2,3,99,99,99,99,99,99,99,99,2,99,
kombagewerkschaft,Komba,99,2,3,99,99,99,99,99,99,99,99,2,99,
kommissionfuerzeitgeschichte,Kommission fuer Zeitgeschichte e.V. Bonn,99,2,3,99,99,99,99,99,99,99,99,2,99,
kommunalpolitischesforschungsinstitut,Kommunalpolitisches Forschungsinstitut,99,2,2,99,99,99,99,99,99,99,99,2,99,
konradadenauerstiftung,Konrad-Adenauer-Stiftung e.V.,99,2,5,99,99,99,99,99,99,99,99,2,99,
ksba,Kinderschutzbund Altenkirchen e.V. ,99,2,3,99,99,99,99,99,99,99,99,2,99,
kuehnmengel,Helga Kuehn-Mengel,1,1,99,6,2,6,3,1,2,10,4,99,99,
kulturstiftungdesbundes,Kulturstiftung des Bundes,99,2,5,99,99,99,99,99,99,99,99,2,99,
kunstbeirat,Kunstbeirat,99,2,4,99,99,99,99,99,99,99,99,1,99,
landesfachausschussfuerinnenundrechtspolitik,Landesfachausschuss fuer Innen- und Rechtspolitik,99,2,4,99,99,99,99,99,99,99,99,2,99,
landeszentralefuergesundheitsfoerderungrheinlandpfalz,Landeszentrale fuer Gesundheitsfoerderung Rheinland-Pfalz,99,2,4,99,99,99,99,99,99,99,99,1,5,
landfrauen,Landfrauen,99,2,3,99,99,99,99,99,99,99,99,2,99,
landfrauenaltenkirchen,Landfrauen Altenkirchen,99,2,3,99,99,99,99,99,99,99,99,2,99,
landkreisloerrach,Landkreis Loerrach,99,2,99,99,99,99,99,99,99,99,99,2,99,
laumann,Karl-Josef Laumann,2,1,99,5,3,5,5,2,1,10,2,99,99,
lebenshilfe,Lebenshilfe e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
liberalefrauenhessen,Liberale Frauen Hessen,99,2,4,99,99,99,99,99,99,99,99,2,99,
liberalejuristenlandesverbandhessen,Liberale Juristen Landesverband Hessen,99,2,4,99,99,99,99,99,99,99,99,2,99,
ludwig,Daniela Ludwig,1,1,99,3,2,8,2,2,1,2,3,99,99,
luh,Gottfried Wilhelm Leibniz Universitaet Hannover,99,2,3,99,99,99,99,99,99,99,99,2,99,
maxplanckinstitut,Max-Planck-Institut fuer Chemische Energiekonversion,99,2,3,99,99,99,99,99,99,99,99,2,99,
medapharma,MEDA Pharma GmbH & Co. KG,99,2,2,99,99,99,99,99,99,99,99,1,1,
menschenrechtsausschuss,Ausschuss fuer Menschenrechte und humanitaere Hilfe ,99,2,4,99,99,99,99,99,99,99,99,2,99,
mhh,Medizinische Hochschule Hannover,99,2,3,99,99,99,99,99,99,99,99,1,4,
ministeriumderjustiz,Ministerium der Justiz (DDR),99,2,4,99,99,99,99,99,99,99,99,2,99,
ministeriumfuerarbeitnrw,Ministerium fuer Arbeit Gesundheit und Soziales NRW,99,2,4,99,99,99,99,99,99,99,1,1,99,
ministeriumfuersozialesundgesundheitthueringen,Ministerium fuer Soziales und Gesundheit Thueringen,99,2,4,99,99,99,99,99,99,99,1,1,5,
ministeriumfuerwirtschaftarbeitundverkehrniedersachsen,Ministerium fuer Wirtschaft Arbeit und Verkehr Niedersachsen,99,2,4,99,99,99,99,99,99,99,99,2,5,
ministeriumfuerwirtschaftarbeitundverkehrnrw,Ministerium fuer Wirtschaft Arbeit und Verkehr NRW,99,2,4,99,99,99,99,99,99,99,99,2,5,
moehnenvereinkasbach,Kasbacher Moehnenverein,99,2,3,99,99,99,99,99,99,99,99,2,99,
mortler,Marlene Mortler,1,1,99,5,4,5,1,2,1,2,3,99,99,
msselbsthilfegruppedierdorf,MS Selbsthilfegruppe Dierdorf e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
muellkindervonkairo,Muellkinder von Kairo e.V. ,99,2,3,99,99,99,99,99,99,99,99,1,4,
muk,Luebecker Musik- und Kongresshallen GmbH (MUK),99,2,2,99,99,99,99,99,99,99,99,2,99,
museumsgesellschaftbruehl,Bruehler Museumsgesellschaft e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
naburengsdorf,Nabu Rengsdorf,99,2,3,99,99,99,99,99,99,99,99,2,99,
nachvorne,Nach Vorn e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
nato,NATO (North Atlantic Treaty Organization),99,2,3,99,99,99,99,99,99,99,99,1,99,
nbank,N-Bank,99,2,2,99,99,99,99,99,99,99,99,2,99,
neuesforum,Neues Forum,99,2,3,99,99,99,99,99,99,99,99,2,99,
niedersaechsischestaatskanzlei,Niedersaechsische Staatskanzlei,99,2,4,99,99,99,99,99,99,99,99,2,99,
oecd,Organisation fuer wirtschaftliche Zusammenarbeit und Entwicklung,99,2,3,99,99,99,99,99,99,99,99,2,99,
ottobenecke,Otto Benecke Stiftung Bonn,99,2,5,99,99,99,99,99,99,99,99,2,99,
pangasinan,Verein Pangasinan e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
pareton,Pareton GmbH,99,2,2,99,99,99,99,99,99,99,99,2,99,
petoekindergartenrosenheim,Petoe-Kindergarten Rosenheim,99,2,3,99,99,99,99,99,99,99,99,2,99,
pflegestiftungmeltl,Pflegestiftung Meltl,99,2,5,99,99,99,99,99,99,99,99,1,4,
philippstiftungimmenhausenev,Philipp Stiftung Immenhausen e.V.,99,2,5,99,99,99,99,99,99,99,99,1,4,
pkv,Verband der privaten Krankenversicherung,99,2,2,99,99,99,99,99,99,99,99,1,5,
politas,Politas,99,2,2,99,99,99,99,99,99,99,99,1,5,
pureholding,Pure Holding,99,2,3,99,99,99,99,99,99,99,99,1,1,
qsqualitaet,QS Qualitaet und Sicherheit GmbH,99,2,3,99,99,99,99,99,99,99,99,2,99,
rechtsausschuss,Rechtsausschuss,99,2,4,99,99,99,99,99,99,99,99,2,99,
reinermeutschstiftung,Reiner Meutsch Stiftung,99,2,5,99,99,99,99,99,99,99,99,2,99,
rhoenklinikum,Rhoen-Klinikum AG,99,2,2,99,99,99,99,99,99,99,99,1,3,
robertboschstiftung,Robert-Bosch-Stiftung,99,2,3,99,99,99,99,99,99,99,99,1,4,
robertenkestiftung,Robert-Enke-Stiftung,99,2,5,99,99,99,99,99,99,99,99,1,4,
roesler,Philipp Roesler,2,1,99,3,5,9,3,1,5,9,1,99,99,
ruanda,Ruanda e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
rwvsiegen,Richard-Wagner-Verband Siegen e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
