id,label,sex,type,type_detail,period,age,birth,education,education_background,background,party,state,function,health_sector,health_category
schwaebischerdialekt,Foerderverein Schwaebischer Dialekt e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
eugenbolzstiftung,Eugen-Bolz-Stiftung e.V.,99,2,5,99,99,99,99,99,99,99,99,99,2,99
donumvitae,donum vitae e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,5
cda,Christlich-Demokratische Arbeitnehmerschaft,99,2,4,99,99,99,99,99,99,99,99,99,2,99
kab,Katholische Arbeitnehmer-Bewegung Deutschlands e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
kolpingwerk,Kolpingwerk Deutschland,99,2,3,99,99,99,99,99,99,99,99,99,2,99
igmetall,IG Metall,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bmg,Bundesgesundheitsministerium,99,2,4,99,99,99,99,99,99,99,99,99,1,5
cdu,CDU/CSU,99,2,4,99,99,99,99,99,99,99,99,99,2,99
,,,,,,,,,,,,,,,
spahn,Jens Spahn,2,1,99,4,3,2,5,,1,1,10,1,99,99
weiss,Sabine Weiss,1,1,99,4,6,5,8,,2,1,10,2,99,99
steffen,Thomas Steffen,2,1,99,4,4,3,9,,2,1,11,2,99,99
ludwig,Daniela Ludwig,1,1,99,4,3,2,8,,2,1,2,3,99,99
gebhart,Thomas Gebhart,2,1,99,4,3,2,9,,1,1,11,2,99,99
westerfellhaus,Andreas Westerfellhaus,2,1,99,4,4,3,5,,1,1,10,4,99,99
schmidtke,Claudia Schmidtke,1,1,99,4,4,3,9,,1,1,15,4,99,99
bmwi,Bundesministerium für Wirtschaft,99,2,4,99,99,99,99,99,99,99,99,99,2,99
bmf,Bundesministerium für Finanzen,99,2,4,99,99,99,99,99,99,99,99,99,2,99
bafin,Bundes­­anstalt für Finanz­dienst­leistungsaufsicht,99,2,4,99,99,99,99,99,99,99,99,99,2,99
bmg,Bundesgesundheitsministerium,99,2,4,99,99,99,99,99,99,99,99,99,1,5
deutscherpflegerat,Deutscher Pflegerat,99,2,3,99,99,99,99,99,99,99,99,99,1,5
zab,ZAB – Zentrale Akademie für Berufe im Gesundheitswesen GmbH,99,2,2,99,99,99,99,99,99,99,99,99,1,1
westfaelischenklinik,Westfälischen Klinik,99,2,2,99,99,99,99,99,99,99,99,99,1,3
basf,BASF,99,2,2,99,99,99,99,99,99,99,99,99,1,1
europauniondeutschland,Europa-Union Deutschland e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
fortschrittrosenheim,FortSchritt Rosenheim e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
petoekindergartenrosenheim,Petö-Kindergarten Rosenheim,99,2,3,99,99,99,99,99,99,99,99,99,2,99
foerdervereinkinderklinikrosenheim,Förderverein Kinderklinik Rosenheim,99,2,3,99,99,99,99,99,99,99,99,99,1,4
bkf,Bundesverband konduktive Förderung nach Petö,99,2,3,99,99,99,99,99,99,99,99,99,1,4
pflegestiftungmeltl,Pflegestiftung Meltl,99,2,5,99,99,99,99,99,99,99,99,99,1,4
donumvitaerosenheim,Donum Vitae Rosenheim,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bayerischesroteskreuz,"Bayerisches Rotes Kreuz, Kreisverband Rosenheim",99,2,3,99,99,99,99,99,99,99,99,99,1,4
pangasinan,Verein Pangasinan e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bundesstiftungbaukultur,Bundesstiftung Baukultur,99,2,5,99,99,99,99,99,99,99,99,99,2,99
eacts,European Association of Cardio Thoracic Surgery (EACTS),99,2,3,99,99,99,99,99,99,99,99,99,1,4
dgthg,"Deutsche Gesellschaft für Thorax-, Herz- und Gefäßchirugie (DGTHG)",99,2,3,99,99,99,99,99,99,99,99,99,1,4
dgesgm,Deutsche Gesellschaft für geschlechtsspezifische Medizin e.V. (DGesGM),99,2,3,99,99,99,99,99,99,99,99,99,1,4
segebergerkliniken,Segeberger Kliniken GmbH,99,2,2,99,99,99,99,99,99,99,99,99,1,3
muk,Lübecker Musik- und Kongresshallen GmbH (MUK),99,2,2,99,99,99,99,99,99,99,99,99,2,99
dfk,Stiftung Deutsches Forum für Kriminalprävention (DFK),99,2,5,99,99,99,99,99,99,99,99,99,2,99
dbu,Deutsche Bundesstiftung Umwelt (DBU),99,2,5,99,99,99,99,99,99,99,99,99,2,99
jugendgegenaids,Jugend gegen AIDS e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
kulturstiftungdesbundes,Kulturstiftung des Bundes,99,2,5,99,99,99,99,99,99,99,99,99,2,99
stiftunghumanitaerehilfe,Stiftung „Humanitäre Hilfe für durch Blutprodukte HIV-infizierte Personen“,99,2,5,99,99,99,99,99,99,99,99,99,1,4
pareton,Pareton GmbH,99,2,2,99,99,99,99,99,99,99,99,99,2,99
politas,Politas,99,2,2,99,99,99,99,99,99,99,99,99,1,5
sparkassewestmuensterland,Sparkasse Westmünsterland,99,2,2,99,99,99,99,99,99,99,99,99,2,99
comline,Comline AG,99,2,2,99,99,99,99,99,99,99,99,99,2,99
dkg,Deutsche Krankenhausgesellschaft e.V. (DKG),99,2,3,99,99,99,99,99,99,99,99,99,1,4
medapharma,MEDA Pharma GmbH & Co. KG,99,2,2,99,99,99,99,99,99,99,99,99,1,1
facetoface,face to face GmbH,99,2,2,99,99,99,99,99,99,99,99,99,1,5
unikreditbank,UniCredit Bank,99,2,2,99,99,99,99,99,99,99,99,99,2,99
cdu,CDU/CSU,99,2,4,99,99,99,99,99,99,99,99,99,99,99
